key_medium| matching_medium| image_url| museum
Polychrome porcelain|Polychrome porcelain|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31833993-WEB.jpg|lacma
Polychrome porcelain||http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31975738-WEB.jpg|lacma
Polychrome porcelain||http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31774027-WEB.jpg|lacma
Polychrome porcelain||http://collections.lacma.org/sites/default/files/remote_images/piction/ma-1704087-WEB.jpg|lacma
Polychrome porcelain||http://www.dia.org/user_area/comping/37.189.1-d2.jpg|detroit
Polychrome porcelain|Porcelain|http://www.dia.org/user_area/comping/1991.1032.jpg|detroit
Polychrome porcelain||http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31975199-WEB.jpg|lacma
Polychrome porcelain||http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31971244-WEB.jpg|lacma
Polychrome porcelain||http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31969949-WEB.jpg|lacma
Polychrome porcelain||http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31972007-WEB.jpg|lacma
Polychrome porcelain||http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31770195-WEB.jpg|lacma
Polychrome porcelain||http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31766819-WEB.jpg|lacma
Polychrome porcelain|Polychrome porcelain|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31833993-WEB.jpg|lacma
Polychrome porcelain||http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31975738-WEB.jpg|lacma
Polychrome porcelain||http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31774027-WEB.jpg|lacma
Polychrome porcelain||http://collections.lacma.org/sites/default/files/remote_images/piction/ma-1704087-WEB.jpg|lacma
Bronze|Bronze|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31515890-WEB.jpg|lacma
Bronze|Bronze|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31834434-WEB.jpg|lacma
Bronze|Bronze on verde antico base|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-1713739-WEB.jpg|lacma
Bronze|Bronze|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31833684-WEB.jpg|lacma
Bronze|Bronze|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31272782-WEB.jpg|lacma
Bronze|Bronze|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773158-WEB.jpg|lacma
Bronze|Gilt bronze, gilt bronze socle and plinth|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31835064-WEB.jpg|lacma
Bronze|Bronze with traces of silver and gilding|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31834378-WEB.jpg|lacma
Bronze|Bronze, cast by Charles Crozatier|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31976647-WEB.jpg|lacma
Bronze|Bronze|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31834419-WEB.jpg|lacma
Bronze|Bronze|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31299268-WEB.jpg|lacma
