key_painter| matching_painter| image_url| museum
John Baptist|John Baptist|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000165/23453_1783606.jpg|artic
Salvador Dal�|Salvador Dal�|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000256/189738_3048355.jpg|artic
Salvador Dal�|Salvador Dal�|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000154/5658_1651650.jpg|artic
Constant Troyon|Constant Troyon|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000163/20010_1762937.jpg|artic
Constant Troyon|Constant Troyon|http://www.dia.org/user_area/comping/12.6.jpg|detroit
Constant Troyon|Constant Troyon|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31777268-WEB.jpg|lacma
Constant Troyon|Constant Troyon|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31777268-WEB.jpg|lacma
Evert Pieters|Evert Pieters|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000154/5313_1645496.jpg|artic
Master of the Female Half-Lengths|Master of the Female Half-Lengths|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000151/3103_1612475.jpg|artic
Master of the Female Half-Lengths|Master of the Female Half-Lengths|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31770048-WEB.jpg|lacma
Master of the Female Half-Lengths|Master of the Female Half-Lengths|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31770048-WEB.jpg|lacma
George Frederick Watts|George Frederick Watts|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000165/23448_1783545.jpg|artic
William Cuming|William Cuming|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000158/11021_1706860.jpg|artic
Willem van Mieris|Willem van Mieris|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000148/178_1575161.jpg|artic
Willem van Mieris|Willem van Mieris|http://www.dia.org/user_area/comping/2004.13-D1.jpg|detroit
Jean Baptiste Edouard Detaille|Jean Baptiste Edouard Detaille|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000148/213_1575726.jpg|artic
Jean Baptiste Edouard Detaille|Jean Baptiste Claude Odiot|http://www.dia.org/user_area/comping/71.296.A-S1.jpg|detroit
Jean Baptiste Edouard Detaille|Jean Baptiste Claude Odiot|http://www.dia.org/user_area/comping/73.251.A.jpg|detroit
Jean Baptiste Edouard Detaille|Jean Baptiste Claude Odiot|http://www.dia.org/user_area/comping/73.251.B.jpg|detroit
Vincent van Gogh|Vincent van Gogh|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000152/4118_1626413.jpg|artic
Vincent van Gogh|Vincent Willem van Gogh|http://www.dia.org/user_area/comping/1996.25-D1.jpg|detroit
Vincent van Gogh|Vincent Willem van Gogh|http://www.dia.org/user_area/comping/22.13-D1.jpg|detroit
Vincent van Gogh|Vincent Willem van Gogh|http://www.dia.org/user_area/comping/70.158-S1.jpg|detroit
Vincent van Gogh|Vincent Willem van Gogh|http://www.dia.org/user_area/comping/70.159.jpg|detroit
Johan Barthold Jongkind|Johan Barthold Jongkind|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000152/3769_1621330.jpg|artic
James Pryde|James Pryde|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000254/186335_3020179.jpg|artic
Stanislas Lépine|Stanislas Lépine|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000152/3830_1622447.jpg|artic
Georges Seurat|Georges Seurat|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000156/8227_1683056.jpg|artic
Alfred Sisley|Alfred Sisley|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000165/23434_1783450.jpg|artic
Alfred Sisley|Alfred Sisley|http://www.dia.org/user_area/comping/20.114-S1.jpg|detroit
Aelbert Cuyp|Aelbert Cuyp|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000167/47067_1809425.jpg|artic
Aelbert Cuyp|Aelbert Cuyp|http://www.dia.org/user_area/comping/33.7-D1.jpg|detroit
Aelbert Cuyp|Aelbert Cuyp|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31767491-WEB.jpg|lacma
Aelbert Cuyp|Aelbert Cuyp|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31767491-WEB.jpg|lacma
Cornelis Saftleven|Cornelis Saftleven|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000240/159502_2793779.jpg|artic
David Teniers the Younger (Flemish, 1610â€“1690)|David Teniers the Younger (Flemish, 1610â€“1690)|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000150/1975_1597452.jpg|artic
Léopold Survage|Léopold Survage|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000154/5625_1651137.jpg|artic
Le Corbusier (Charles-Édouard Jeanneret)|Le Corbusier (Charles-Édouard Jeanneret)|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000152/3779_1621588.jpg|artic
Juan Gris|Juan Gris|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000215/131409_2407120.jpg|artic
Pablo Picasso|Pablo Picasso|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000252/182570_2986419.jpg|artic
Pablo Picasso|Pablo Picasso|http://www.dia.org/user_area/comping/1988.178.jpg|detroit
Pablo Picasso|Pablo Picasso|http://www.dia.org/user_area/comping/62.126-S1.jpg|detroit
Pablo Picasso|Pablo Picasso|http://www.dia.org/user_area/comping/62.141-D1.jpg|detroit
Pablo Picasso|Pablo Picasso|http://www.dia.org/user_area/comping/70.190.jpg|detroit
Pablo Picasso|Pablo Picasso|http://www.dia.org/user_area/comping/70.192.jpg|detroit
Pablo Picasso|Pablo Picasso|http://www.dia.org/user_area/comping/70.193-S2.jpg|detroit
Victor Brauner|Victor Brauner|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000148/7_1572553.jpg|artic
Victor Brauner|Victor Brauner|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000167/47209_1810174.jpg|artic
Victor Brauner|Victor Brauner|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000167/47208_1810158.jpg|artic
Victor Brauner|Victor Duena|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31732679-WEB.jpg|lacma
Pierre-Auguste Renoir|Pierre-Auguste Renoir|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000252/182526_2985715.jpg|artic
Pierre-Auguste Renoir|Pierre-Auguste Renoir|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000250/176806_2959875.jpg|artic
Pierre-Auguste Renoir|Pierre Auguste Renoir|http://www.dia.org/user_area/comping/1985.24-S1.jpg|detroit
Pierre-Auguste Renoir|Pierre Auguste Renoir|http://www.dia.org/user_area/comping/1985.25.jpg|detroit
Pierre-Auguste Renoir|Pierre Auguste Renoir|http://www.dia.org/user_area/comping/20.111-S1.jpg|detroit
Pierre-Auguste Renoir|Pierre Auguste Renoir|http://www.dia.org/user_area/comping/70.177.jpg|detroit
Pierre-Auguste Renoir|Pierre Auguste Renoir|http://www.dia.org/user_area/comping/70.178-d1.jpg|detroit
Pierre-Auguste Renoir|Pierre Auguste Renoir|http://www.dia.org/user_area/comping/70.209.jpg|detroit
Pierre-Auguste Renoir|Pierre-Auguste Renoir|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773375-WEB.jpg|lacma
Pierre-Auguste Renoir|Pierre-Auguste Renoir|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-34006495-WEB.jpg|lacma
Pierre-Auguste Renoir|Pierre-Auguste Renoir|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31770159-WEB.jpg|lacma
